iter	Passed	Remaining
636	12727	7252
637	12744	7231
638	12756	7206
639	12773	7185
640	12791	7164
641	12812	7144
642	12826	7121
643	12844	7100
644	12862	7079
645	12881	7058
646	12899	7038
647	12917	7016
648	12934	6995
649	12949	6972
650	12969	6952
651	12984	6930
652	13001	6908
653	13016	6886
654	13034	6865
655	13062	6849
656	13078	6827
657	13097	6807
658	13114	6786
659	13131	6764
660	13147	6742
661	13164	6721
662	13183	6701
663	13199	6679
664	13214	6657
665	13231	6635
666	13247	6614
667	13267	6594
668	13280	6570
669	13300	6551
670	13315	6528
671	13332	6507
672	13345	6484
673	13367	6465
674	13385	6444
675	13401	6423
676	13419	6402
677	13438	6382
678	13457	6362
679	13473	6340
680	13493	6320
681	13508	6298
682	13526	6277
683	13541	6256
684	13564	6237
685	13582	6216
686	13600	6196
687	13619	6176
688	13653	6163
689	13684	6148
690	13704	6128
691	13737	6114
692	13765	6097
693	13786	6078
694	13805	6058
695	13827	6039
696	13852	6021
697	13869	6000
698	13887	5980
699	13908	5960
700	13926	5940
701	13946	5920
702	13962	5898
703	13982	5878
704	13998	5857
705	14019	5838
706	14035	5816
707	14052	5795
708	14067	5773
709	14087	5754
710	14106	5733
711	14131	5715
712	14161	5700
713	14180	5680
714	14208	5663
715	14264	5657
716	14286	5638
717	14300	5616
718	14314	5594
719	14327	5571
720	14342	5550
721	14356	5527
722	14373	5506
723	14388	5485
724	14403	5463
725	14419	5442
726	14435	5420
727	14449	5398
728	14463	5376
729	14476	5354
730	14490	5332
731	14505	5310
732	14520	5289
733	14535	5267
734	14554	5247
735	14569	5226
736	14583	5204
737	14598	5182
738	14615	5162
739	14632	5141
740	14651	5120
741	14665	5099
742	14679	5077
743	14693	5055
744	14706	5033
745	14722	5012
746	14737	4991
747	14751	4969
748	14767	4948
749	14782	4927
750	14796	4905
751	14810	4884
752	14826	4863
753	14839	4841
754	14853	4819
755	14869	4799
756	14883	4777
757	14897	4756
758	14911	4734
759	14927	4713
760	14947	4694
761	14962	4673
762	14975	4651
763	14990	4630
764	15002	4608
765	15015	4586
766	15029	4565
767	15046	4545
768	15061	4524
769	15074	4502
770	15089	4481
771	15104	4460
772	15118	4439
773	15131	4418
774	15145	4397
775	15160	4376
776	15173	4354
777	15188	4334
778	15203	4313
779	15218	4292
780	15230	4270
781	15242	4249
782	15257	4228
783	15269	4206
784	15283	4186
785	15296	4164
786	15309	4143
787	15325	4123
788	15338	4102
789	15354	4081
790	15371	4061
791	15385	4040
792	15400	4019
793	15414	3999
794	15430	3978
795	15447	3959
796	15462	3938
797	15475	3917
798	15488	3896
799	15501	3875
800	15516	3854
801	15531	3834
802	15544	3813
803	15556	3792
804	15571	3771
805	15584	3751
806	15598	3730
807	15613	3710
808	15628	3689
809	15644	3669
810	15657	3648
811	15669	3627
812	15682	3607
813	15697	3586
814	15711	3566
815	15725	3546
816	15740	3525
817	15755	3505
818	15768	3484
819	15781	3464
820	15796	3444
821	15809	3423
822	15824	3403
823	15841	3383
824	15856	3363
825	15870	3343
826	15884	3322
827	15904	3303
828	15917	3283
829	15934	3263
830	15953	3244
831	15970	3224
832	15988	3205
833	16005	3185
834	16021	3165
835	16038	3146
836	16053	3126
837	16071	3106
838	16087	3087
839	16104	3067
840	16121	3047
841	16138	3028
842	16155	3008
843	16171	2988
844	16190	2969
845	16204	2949
846	16220	2930
847	16245	2911
848	16258	2891
849	16273	2871
850	16291	2852
851	16306	2832
852	16321	2812
853	16339	2793
854	16355	2773
855	16371	2754
856	16389	2734
857	16404	2714
858	16419	2695
859	16439	2676
860	16453	2656
861	16467	2636
862	16486	2617
863	16503	2597
864	16518	2577
865	16536	2558
866	16552	2539
867	16567	2519
868	16585	2500
869	16600	2480
870	16615	2460
871	16639	2442
872	16652	2422
873	16667	2402
874	16684	2383
875	16699	2363
876	16715	2344
877	16734	2325
878	16749	2305
879	16765	2286
880	16782	2266
881	16796	2247
882	16810	2227
883	16827	2208
884	16846	2189
885	16860	2169
886	16876	2149
887	16894	2130
888	16908	2111
889	16925	2091
890	16944	2072
891	16958	2053
892	16972	2033
893	16988	2014
894	17005	1995
895	17027	1976
896	17046	1957
897	17063	1938
898	17076	1918
899	17090	1898
900	17108	1879
901	17124	1860
902	17140	1841
903	17158	1822
904	17173	1802
905	17187	1783
906	17205	1764
907	17221	1744
908	17237	1725
909	17255	1706
910	17269	1687
911	17283	1667
912	17300	1648
913	17315	1629
914	17332	1610
915	17349	1591
916	17364	1571
917	17379	1552
918	17393	1533
919	17411	1514
920	17428	1494
921	17445	1475
922	17461	1456
923	17478	1437
924	17492	1418
925	17509	1399
926	17521	1379
927	17545	1361
928	17560	1342
929	17576	1322
930	17598	1304
931	17612	1285
932	17629	1266
933	17647	1247
934	17661	1227
935	17677	1208
936	17696	1189
937	17710	1170
938	17728	1151
939	17745	1132
940	17761	1113
941	17775	1094
942	17791	1075
943	17812	1056
944	17833	1037
945	17848	1018
946	17865	999
947	17878	980
948	17893	961
949	17909	942
950	17928	923
951	17941	904
952	17959	885
953	17977	866
954	17990	847
955	18005	828
956	18021	809
957	18039	790
958	18055	771
959	18071	752
960	18091	734
961	18105	715
962	18122	696
963	18139	677
964	18154	658
965	18169	639
966	18189	620
967	18203	601
968	18224	583
969	18240	564
970	18254	545
971	18269	526
972	18288	507
973	18303	488
974	18319	469
975	18336	450
976	18351	432
977	18368	413
978	18385	394
979	18400	375
980	18418	356
981	18435	337
982	18450	319
983	18464	300
984	18479	281
985	18498	262
986	18514	243
987	18529	225
988	18547	206
989	18562	187
990	18580	168
991	18598	149
992	18617	131
993	18632	112
994	18650	93
995	18664	74
996	18679	56
997	18697	37
998	18715	18
999	18728	0
